TransactionID,Date,Ticker,Type,Quantity,Price,Fees,TotalAmount,Note
TX-039,2024-09-30,RELIANCE.NS,Sell,160,2427.58,582.62,-388995.42,Lump-sum buy
TX-003,2024-10-10,INFY.NS,Buy,239,1435.32,514.56,343556.04,SIP
TX-001,2024-10-14,MSFT,Sell,231,273.58,94.8,-63291.78,SIP
TX-024,2024-10-31,TSLA,Sell,106,241.3,38.37,-25616.17,Lump-sum buy
TX-026,2024-11-07,TSLA,Buy,296,242.28,107.57,71822.45,Add to position
TX-014,2024-11-11,AAPL,Buy,187,147.49,41.37,27622.0,SIP
TX-020,2024-11-12,HDFCBANK.NS,Sell,4,1362.88,8.18,-5459.7,SIP
TX-009,2024-11-29,JPM,Buy,137,129.52,26.62,17770.86,Rebalance sell
TX-016,2024-12-03,V,Buy,273,168.68,69.07,46118.71,Rebalance sell
TX-008,2024-12-04,MSFT,Buy,290,315.04,137.04,91498.64,Profit booking
TX-035,2024-12-10,AMZN,Buy,246,104.85,38.69,25831.79,SIP
TX-041,2024-12-11,NVDA,Buy,76,459.13,52.34,34946.22,Profit booking
TX-011,2024-12-19,V,Buy,159,181.83,43.37,28954.34,Lump-sum buy
TX-029,2025-01-02,NVDA,Buy,144,502.13,108.46,72415.18,SIP
TX-007,2025-01-10,TSLA,Buy,278,280.1,116.8,77984.6,Rebalance sell
TX-042,2025-01-13,TCS.NS,Buy,10,3426.15,51.39,34312.89,Lump-sum buy
TX-018,2025-01-16,JPM,Buy,245,115.32,42.38,28295.78,Rebalance sell
TX-019,2025-02-19,RELIANCE.NS,Buy,88,3105.83,409.97,273723.01,Rebalance sell
TX-023,2025-02-26,RELIANCE.NS,Buy,106,3247.86,516.41,344789.57,Rebalance sell
TX-002,2025-03-07,INFY.NS,Buy,38,1416.27,80.73,53898.99,Add to position
TX-021,2025-03-17,AMZN,Buy,95,122.15,17.41,11621.66,Profit booking
TX-030,2025-03-18,ICICIBANK.NS,Buy,182,998.43,272.57,181986.83,Add to position
TX-043,2025-03-28,INFY.NS,Buy,226,1458.18,494.32,330043.0,SIP
TX-031,2025-03-28,ICICIBANK.NS,Buy,166,1044.07,259.97,173575.59,Add to position
TX-010,2025-03-31,AAPL,Buy,135,133.77,27.09,18086.04,Profit booking
TX-040,2025-04-01,RELIANCE.NS,Buy,12,3672.85,66.11,44140.31,Rebalance sell
TX-005,2025-04-09,AAPL,Buy,50,128.61,9.65,6440.15,SIP
TX-015,2025-04-17,MSFT,Buy,130,360.58,70.31,46945.71,SIP
TX-012,2025-04-21,RELIANCE.NS,Buy,189,3849.18,1091.24,728586.26,Add to position
TX-025,2025-05-06,V,Sell,108,300.25,48.64,-32475.64,Rebalance sell
TX-027,2025-05-06,TSLA,Buy,195,466.11,136.34,91027.79,Profit booking
TX-013,2025-06-09,HDFCBANK.NS,Buy,95,1434.31,204.39,136463.84,SIP
TX-033,2025-06-09,TSLA,Buy,298,553.06,247.22,165059.1,SIP
TX-022,2025-06-20,NVDA,Buy,47,658.31,46.41,30986.98,Add to position
TX-037,2025-06-25,V,Buy,242,332.3,120.62,80537.22,Add to position
TX-028,2025-07-02,RELIANCE.NS,Buy,283,3341.13,1418.31,946958.1,Profit booking
TX-004,2025-07-18,TSLA,Sell,148,439.09,97.48,-65082.8,Profit booking
TX-006,2025-07-22,JPM,Buy,126,240.76,45.5,30381.26,Rebalance sell
TX-036,2025-07-22,HDFCBANK.NS,Buy,22,1402.82,46.29,30908.33,Lump-sum buy
TX-032,2025-07-25,HDFCBANK.NS,Buy,96,1436.37,206.84,138098.36,Profit booking
TX-017,2025-08-13,RELIANCE.NS,Buy,16,3404.85,81.72,54559.32,Rebalance sell
TX-038,2025-08-22,INFY.NS,Buy,41,1700.68,104.59,69832.47,Rebalance sell
TX-034,2025-09-10,MSFT,Buy,42,328.47,20.69,13816.43,Lump-sum buy
TX-044,2025-09-19,MSFT,Sell,39,326.12,19.08,-12737.76,Rebalance sell
TX-045,2025-09-19,HDFCBANK.NS,Buy,124,1486.56,276.5,184609.94,SIP
